"date	vehicle_category	maker	electric_vehicles_sold"
"4/1/2021	2-Wheelers	AMPERE	751"
"4/1/2022	2-Wheelers	AMPERE	6864"
"4/1/2023	2-Wheelers	AMPERE	8767"
"5/1/2021	2-Wheelers	AMPERE	147"
"5/1/2022	2-Wheelers	AMPERE	6176"
"5/1/2023	2-Wheelers	AMPERE	10659"
"6/1/2021	2-Wheelers	AMPERE	299"
"6/1/2022	2-Wheelers	AMPERE	6919"
"6/1/2023	2-Wheelers	AMPERE	3006"
"7/1/2021	2-Wheelers	AMPERE	663"
"7/1/2022	2-Wheelers	AMPERE	6812"
"7/1/2023	2-Wheelers	AMPERE	3530"
"8/1/2021	2-Wheelers	AMPERE	810"
"8/1/2022	2-Wheelers	AMPERE	6771"
"8/1/2023	2-Wheelers	AMPERE	3654"
"9/1/2021	2-Wheelers	AMPERE	807"
"9/1/2022	2-Wheelers	AMPERE	6488"
"9/1/2023	2-Wheelers	AMPERE	4148"
"10/1/2021	2-Wheelers	AMPERE	1083"
"10/1/2022	2-Wheelers	AMPERE	10113"
"10/1/2023	2-Wheelers	AMPERE	4487"
"11/1/2021	2-Wheelers	AMPERE	2077"
"11/1/2022	2-Wheelers	AMPERE	12446"
"11/1/2023	2-Wheelers	AMPERE	4638"
"12/1/2021	2-Wheelers	AMPERE	3410"
"12/1/2022	2-Wheelers	AMPERE	4592"
"12/1/2023	2-Wheelers	AMPERE	3309"
"1/1/2022	2-Wheelers	AMPERE	4366"
"1/1/2023	2-Wheelers	AMPERE	4456"
"1/1/2024	2-Wheelers	AMPERE	2505"
"2/1/2022	2-Wheelers	AMPERE	4431"
"2/1/2023	2-Wheelers	AMPERE	6003"
"2/1/2024	2-Wheelers	AMPERE	2577"
"3/1/2022	2-Wheelers	AMPERE	6666"
"3/1/2023	2-Wheelers	AMPERE	9736"
"3/1/2024	2-Wheelers	AMPERE	3108"
"4/1/2021	2-Wheelers	ATHER	903"
"4/1/2022	2-Wheelers	ATHER	2451"
"4/1/2023	2-Wheelers	ATHER	7707"
"5/1/2021	2-Wheelers	ATHER	160"
"5/1/2022	2-Wheelers	ATHER	3337"
"5/1/2023	2-Wheelers	ATHER	15243"
"6/1/2021	2-Wheelers	ATHER	320"
"6/1/2022	2-Wheelers	ATHER	3829"
"6/1/2023	2-Wheelers	ATHER	4547"
"7/1/2021	2-Wheelers	ATHER	1799"
"7/1/2022	2-Wheelers	ATHER	1289"
"7/1/2023	2-Wheelers	ATHER	6604"
"8/1/2021	2-Wheelers	ATHER	1613"
"8/1/2022	2-Wheelers	ATHER	5376"
"8/1/2023	2-Wheelers	ATHER	7065"
"9/1/2021	2-Wheelers	ATHER	2174"
"9/1/2022	2-Wheelers	ATHER	6280"
"9/1/2023	2-Wheelers	ATHER	7107"
"10/1/2021	2-Wheelers	ATHER	2647"
"10/1/2022	2-Wheelers	ATHER	7356"
"10/1/2023	2-Wheelers	ATHER	8375"
"11/1/2021	2-Wheelers	ATHER	2202"
"11/1/2022	2-Wheelers	ATHER	7837"
"11/1/2023	2-Wheelers	ATHER	9220"
"12/1/2021	2-Wheelers	ATHER	1813"
"12/1/2022	2-Wheelers	ATHER	7693"
"12/1/2023	2-Wheelers	ATHER	6471"
"1/1/2022	2-Wheelers	ATHER	1881"
"1/1/2023	2-Wheelers	ATHER	9224"
"1/1/2024	2-Wheelers	ATHER	9244"
"2/1/2022	2-Wheelers	ATHER	2232"
"2/1/2023	2-Wheelers	ATHER	10069"
"2/1/2024	2-Wheelers	ATHER	8957"
"3/1/2022	2-Wheelers	ATHER	2232"
"3/1/2023	2-Wheelers	ATHER	12180"
"3/1/2024	2-Wheelers	ATHER	17012"
"4/1/2021	2-Wheelers	BAJAJ	48"
